uid;total_contributions;p_creation;p_modification;p_delete;p_is_used;p_is_edited;p_is_deleted;nbWeeks;focalisation
143308;1437;1.0;0.0;0.0;0.30851063829787234;0.988865692414753;0.9965205288796103;2;0.0
193491;1285;0.8093385214007782;0.1859922178988327;0.004669260700389105;0.4148936170212766;0.9719844357976654;0.9922178988326849;14;0.0
148954;11;0.0;0.0;1.0;0.0;1.0;1.0;1;0.0
337375;236;0.3347457627118644;0.4025423728813559;0.2627118644067797;0.06382978723404255;0.9703389830508474;0.9957627118644068;3;0.0
2583033;3;0.0;1.0;0.0;0.0;1.0;1.0;1;0.0
542700;3;0.6666666666666666;0.3333333333333333;0.0;0.0;1.0;1.0;1;0.0
1668080;2;0.0;1.0;0.0;0.0;1.0;1.0;2;0.0
289775;1;0.0;1.0;0.0;0.0;1.0;1.0;1;0.0
6386058;1;1.0;0.0;0.0;0.0;1.0;1.0;1;0.0
400383;22;0.09090909090909091;0.6818181818181818;0.22727272727272727;0.13829787234042554;0.8181818181818181;1.0;4;0.0
712179;1;0.0;1.0;0.0;0.0;0.0;1.0;1;0.0
2678738;2;0.0;1.0;0.0;0.0;1.0;1.0;1;0.0
2309086;16;0.3125;0.375;0.3125;0.0425531914893617;0.9375;1.0;1;0.0
31231;75;0.0;0.09333333333333334;0.9066666666666666;0.0425531914893617;0.9866666666666667;0.9733333333333334;2;0.0
