"uid";"degre1";"degre2";"degre3";"degre4";"degre5";"degre6";"degre7";"participation";"ccluster1";"ccluster2"
"2883516";"2.0";"3.0";"0.0";"4.0";"1.0";"0.0";"0.0";"0.8166666666666667";"0.16666666666666666";"0.09142857142857143"
"5042073";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"3985354";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"2879419";"2.0";"2.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.7777777777777779";"0.6666666666666666";"0.3"
"3276744";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"2875312";"1.0";"1.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.875";"null";"0.0"
"4849556";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"3276722";"0.0";"0.0";"0.0";"2.0";"1.0";"0.0";"0.0";"0.5185185185185185";"0.5";"0.3"
"2863047";"0.0";"0.0";"0.0";"3.0";"2.0";"0.0";"0.0";"0.56";"0.125";"0.23333333333333334"
"24551";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"3276727";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"4464558";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"null";"null"
"290791";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"3276731";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"16367";"4.0";"5.0";"0.0";"7.0";"1.0";"0.0";"0.0";"0.7993079584775088";"0.09009009009009009";"0.10101010101010101"
"2875418";"2.0";"2.0";"0.0";"4.0";"1.0";"0.0";"0.0";"0.8065843621399177";"0.25";"0.19285714285714287"
"2383891";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"4968505";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"null";"null";"null"
"315382";"1.0";"2.0";"0.0";"7.0";"2.0";"0.0";"0.0";"0.6967592592592592";"0.07246376811594203";"0.08372093023255814"
