"uid";"name";"nbContributions";"nbDayContributions";"nbNightContributions";"nbOfweekContributions";"nbOfweekendContributions";"nbCreations";"nbModifications";"nbDeletes";"nbBlockReceived";"totalChangesetCount";"p_DayContributions";"p_NightContributions";"p_OfweekContributions";"p_OfweekendContributions";"p_Creations";"p_Modifications";"p_Deletes";"nbChangesetFenetre"
"1256648";"Zigeuner";"8";"2";"6";"5";"3";"1";"7";"0";"0";"2767";"0.25";"0.75";"0.625";"0.375";"0.125";"0.875";"0.0";"8"
"524500";"wheelmap_android";"1";"0";"1";"1";"0";"0";"1";"0";"0";"9743";"0.0";"1.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1"
"1214670";"Ben Siesta";"18";"15";"3";"14";"4";"4";"10";"4";"0";"92";"0.8333333333333334";"0.16666666666666666";"0.7777777777777778";"0.2222222222222222";"0.2222222222222222";"0.5555555555555556";"0.2222222222222222";"14"
"617687";"ralevy";"19";"19";"0";"3";"16";"11";"8";"0";"0";"927";"1.0";"0.0";"0.15789473684210525";"0.8421052631578947";"0.5789473684210527";"0.42105263157894735";"0.0";"16"
"6367";"mackerski";"1";"1";"0";"0";"1";"1";"0";"0";"0";"27321";"1.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1"
"445671";"flierfy";"6";"4";"2";"6";"0";"0";"6";"0";"0";"5187";"0.6666666666666666";"0.3333333333333333";"1.0";"0.0";"0.0";"1.0";"0.0";"2"
"41187";"Matt Toups";"2";"0";"2";"0";"2";"1";"1";"0";"0";"1924";"0.0";"1.0";"0.0";"1.0";"0.5";"0.5";"0.0";"1"
"85218";"Aleks-Berlin";"3";"1";"2";"1";"2";"0";"3";"0";"2";"25456";"0.3333333333333333";"0.6666666666666666";"0.3333333333333333";"0.6666666666666666";"0.0";"1.0";"0.0";"3"
"130277";"Teuxe";"5";"5";"0";"5";"0";"1";"4";"0";"0";"2537";"1.0";"0.0";"1.0";"0.0";"0.2";"0.8";"0.0";"3"
"322785";"BCNorwich";"5";"2";"3";"5";"0";"1";"3";"1";"0";"63962";"0.4";"0.6";"1.0";"0.0";"0.2";"0.6";"0.2";"3"
"704748";"tiguillom";"1";"1";"0";"1";"0";"0";"1";"0";"0";"92";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1"
"2928838";"Thomas Renault";"1";"1";"0";"1";"0";"1";"0";"0";"0";"30";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"1"
"39149";"Joce";"10";"3";"7";"0";"10";"3";"7";"0";"0";"15";"0.3";"0.7";"0.0";"1.0";"0.3";"0.7";"0.0";"2"
"2419913";"jm-gailis";"1";"1";"0";"1";"0";"0";"1";"0";"0";"4";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1"
"638183";"RicoZ";"2";"0";"2";"0";"2";"0";"2";"0";"0";"1060";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"5359";"user_5359";"9";"0";"9";"0";"9";"0";"9";"0";"0";"35753";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"2790597";"Staffly";"1";"1";"0";"0";"1";"0";"1";"0";"0";"1";"1.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"412919";"gpermant";"1";"0";"1";"1";"0";"1";"0";"0";"0";"2023";"0.0";"1.0";"1.0";"0.0";"1.0";"0.0";"0.0";"1"
"480502";"phparis";"4";"4";"0";"4";"0";"0";"4";"0";"0";"28";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1"
"376055";"Nicolas Bétheuil";"1";"0";"1";"1";"0";"0";"1";"0";"0";"429";"0.0";"1.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1"
"492784";"Erkkii";"46";"46";"0";"16";"30";"19";"23";"4";"0";"502";"1.0";"0.0";"0.34782608695652173";"0.6521739130434783";"0.41304347826086957";"0.5";"0.08695652173913043";"9"
"210173";"osmmaker";"5630";"3884";"1746";"4548";"1082";"3578";"1935";"117";"11";"7285";"0.6898756660746004";"0.3101243339253996";"0.8078152753108349";"0.1921847246891652";"0.6355239786856128";"0.34369449378330375";"0.02078152753108348";"140"
"2089185";"eikooc";"1";"1";"0";"1";"0";"0";"1";"0";"0";"16";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1"
"197884";"Higonnet";"8";"8";"0";"8";"0";"4";"4";"0";"0";"254";"1.0";"0.0";"1.0";"0.0";"0.5";"0.5";"0.0";"1"
"1996062";"McLedice";"15";"15";"0";"15";"0";"0";"6";"9";"0";"1";"1.0";"0.0";"1.0";"0.0";"0.0";"0.4";"0.6";"1"
"672008";"Benux";"1";"1";"0";"0";"1";"0";"1";"0";"0";"402";"1.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"118021";"maggot27";"2";"1";"1";"0";"2";"0";"1";"1";"0";"8185";"0.5";"0.5";"0.0";"1.0";"0.0";"0.5";"0.5";"2"
"1798428";"Fredo75001";"1";"1";"0";"1";"0";"1";"0";"0";"0";"1";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"1"
"1944853";"Manon Calame";"56";"56";"0";"2";"54";"45";"11";"0";"0";"9";"1.0";"0.0";"0.03571428571428571";"0.9642857142857143";"0.8035714285714286";"0.19642857142857142";"0.0";"8"
"86289";"Gustry";"1";"0";"1";"1";"0";"0";"1";"0";"0";"2503";"0.0";"1.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1"
"37137";"Derick Rethans";"2";"0";"2";"0";"2";"1";"1";"0";"0";"3717";"0.0";"1.0";"0.0";"1.0";"0.5";"0.5";"0.0";"1"
"316694";"Luiyo";"7";"7";"0";"0";"7";"2";"5";"0";"0";"10378";"1.0";"0.0";"0.0";"1.0";"0.2857142857142857";"0.7142857142857143";"0.0";"2"
"662809";"Miavl";"1";"0";"1";"1";"0";"0";"1";"0";"0";"839";"0.0";"1.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1"
"278800";"tbicr";"1";"1";"0";"0";"1";"0";"1";"0";"0";"1881";"1.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"2620721";"silviaoa";"12";"12";"0";"0";"12";"6";"4";"2";"0";"13";"1.0";"0.0";"0.0";"1.0";"0.5";"0.3333333333333333";"0.16666666666666666";"8"
"131348";"Liu Linlin";"5";"0";"5";"5";"0";"4";"1";"0";"0";"1";"0.0";"1.0";"1.0";"0.0";"0.8";"0.2";"0.0";"1"
"67862";"HolgerJeromin";"2";"0";"2";"2";"0";"0";"2";"0";"0";"12457";"0.0";"1.0";"1.0";"0.0";"0.0";"1.0";"0.0";"2"
"562452";"RPVN";"1";"1";"0";"1";"0";"0";"1";"0";"0";"162";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1"
"375079";"Black Myst";"20";"2";"18";"5";"15";"0";"20";"0";"0";"1809";"0.1";"0.9";"0.25";"0.75";"0.0";"1.0";"0.0";"14"
"1722685";"Lawrie Hodges";"1";"0";"1";"1";"0";"0";"1";"0";"0";"29";"0.0";"1.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1"
"359725";"oligo";"32";"31";"1";"0";"32";"0";"27";"5";"0";"577";"0.96875";"0.03125";"0.0";"1.0";"0.0";"0.84375";"0.15625";"3"
"160042";"Jean-Marc Liotier";"1";"1";"0";"1";"0";"0";"1";"0";"0";"3579";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1"
"867616";"kds0102";"4";"0";"4";"0";"4";"0";"4";"0";"0";"3";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"3447046";"David Benoist";"2";"2";"0";"2";"0";"1";"1";"0";"0";"3";"1.0";"0.0";"1.0";"0.0";"0.5";"0.5";"0.0";"2"
"593214";"gileri";"13";"0";"13";"2";"11";"0";"13";"0";"0";"3094";"0.0";"1.0";"0.15384615384615385";"0.8461538461538461";"0.0";"1.0";"0.0";"4"
"21817";"BBecquet";"5";"5";"0";"5";"0";"3";"2";"0";"0";"218";"1.0";"0.0";"1.0";"0.0";"0.6";"0.4";"0.0";"2"
"127299";"Batareikin";"2";"2";"0";"0";"2";"0";"2";"0";"1";"2073";"1.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"85314";"Samusz";"70";"52";"18";"19";"51";"46";"23";"1";"0";"2091";"0.7428571428571429";"0.2571428571428571";"0.2714285714285714";"0.7285714285714285";"0.6571428571428571";"0.32857142857142857";"0.014285714285714285";"16"
"2154858";"mboeringa";"4";"1";"3";"4";"0";"0";"4";"0";"0";"2232";"0.25";"0.75";"1.0";"0.0";"0.0";"1.0";"0.0";"2"
"1819985";"Pinkman";"1";"0";"1";"1";"0";"1";"0";"0";"0";"14";"0.0";"1.0";"1.0";"0.0";"1.0";"0.0";"0.0";"1"
"1959254";"maphnsj";"1";"0";"1";"0";"1";"0";"1";"0";"1";"28475";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"143703";"Britz";"94";"65";"29";"52";"42";"43";"46";"5";"0";"2890";"0.6914893617021277";"0.30851063829787234";"0.5531914893617021";"0.44680851063829785";"0.4574468085106383";"0.48936170212765956";"0.05319148936170213";"6"
"2242882";"GautierMoin";"2";"2";"0";"0";"2";"0";"2";"0";"0";"21";"1.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"3299669";"michko2";"1";"0";"1";"0";"1";"0";"1";"0";"0";"1";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"2214221";"ebruxelles";"1";"1";"0";"0";"1";"0";"1";"0";"0";"9";"1.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1"
"1789303";"Mikhail Kotelnikov";"20";"0";"20";"20";"0";"0";"20";"0";"0";"69";"0.0";"1.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1"
